unique_id,name,firstname,title,namesuffix,fblink1,fblink2,twlink,isListed,list_place,isDC,constituency,constituency_str,state,renewed_candidacy,party,sex,age,residence,birthplace,profession
1554,Kosova,Vera,Dr.,NA,NA,NA,NA,0,NA,1,262,Nürtingen,8,0,7,0,1982,Leinfelden-Echterdingen,Taschkent,Ärztin
1555,Kögel,Jürgen,NA,NA,https://www.facebook.com/JuKoegel/,NA,NA,0,NA,1,267,Heilbronn,8,0,7,1,1958,Eppingen,Adelshofen,Dipl.-Bankbetriebswirt
1556,Thien,Stefan,NA,NA,https://www.facebook.com/stefan.thien.5,NA,https://twitter.com/ThienStefan,0,NA,1,268,Schwäbisch Hall – Hohenlohe,8,0,7,1,1962,Böblingen,Stuttgart,Bankkaufmann
1557,Lindenschmid,Daniel,NA,NA,https://www.facebook.com/lindenschmid,NA,NA,0,NA,1,269,Backnang – Schwäbisch Gmünd,8,0,7,1,1992,Fellbach,Nürtingen,Fachinformatiker
1558,Rupp,Ruben,NA,NA,https://www.facebook.com/ruben.rupp.3,NA,NA,0,NA,1,270,Aalen – Heidenheim,8,0,7,1,1990,Aalen,Mutlangen,Student
1559,Arpaschi,Alexander,NA,NA,https://www.facebook.com/alexander.arpaschi,NA,NA,0,NA,1,272,Karlsruhe-Land,8,0,7,1,1970,Karlsruhe,Karlsruhe,Dipl.-Ing. Maschinenbau
1560,Kaufmann,Malte,NA,NA,https://www.facebook.com/malte.kaufmann,NA,https://twitter.com/maltekaufmann?lang=de,0,NA,1,274,Heidelberg,8,0,7,1,1976,Mühlhausen,Mannheim,Volkswirt
1561,Schmidt,Robert,NA,NA,https://www.facebook.com/profile.php?id=100014995590405,NA,https://twitter.com/afdschmidt,0,NA,1,275,Mannheim,8,0,7,1,1974,Mannheim,Mannheim,Sozialfachangestellter / Jurist
1562,Baum,Christina,Dr.,NA,https://www.facebook.com/Dr.Christina.Baum/,NA,NA,0,NA,1,276,Odenwald – Tauber,8,0,7,0,1956,Lauda-Königshofen,Kleingrabe,Zahnärztin
1563,Amann,Dieter,NA,NA,NA,NA,NA,0,NA,1,278,Bruchsal – Schwetzingen,8,0,7,1,1962,Waghäusel,Speyer,Beamter
1564,Birkle,Waldemar,NA,NA,https://www.facebook.com/people/Waldemar-Birkle/100014902506992,NA,NA,0,NA,1,279,Pforzheim,8,0,7,1,1973,Pforzheim,Tschulak-Ankatinskj,Vertriebsbeauftragter
1565,Kempf,Volker,NA,NA,https://www.facebook.com/volker.kempf.3,NA,NA,0,NA,1,281,Freiburg,8,0,7,1,1968,Breisach am Rhein,Neuenburg am Rhein,Dipl.-Sozialwissenschaftler
1566,Fuhl,Wolfgang,NA,NA,https://www.facebook.com/wolfgang.fuhl.7,NA,NA,0,NA,1,282,Lörrach – Müllheim,8,0,7,1,1960,Lörrach,Weil am Rhein,techn. Angestellter
1567,Maygutiak,Taras,NA,NA,https://www.facebook.com/taras.maygutiak,NA,NA,0,NA,1,284,Offenburg,8,0,7,1,1973,Offenburg,Longmont,Arbeiter
1568,Böswald,Martina Nicola,NA,NA,https://www.facebook.com/martina.boswald,NA,NA,0,NA,1,288,Waldshut,8,0,7,0,1966,Staufen im Breisgau,Würzburg,Rechtsanwältin
1569,Mandic,Dubravko,NA,NA,https://www.facebook.com/dubravkomandicafd,https://www.facebook.com/rechtsanwalt.dubravkomandic,https://twitter.com/RAmandic,0,NA,1,290,Tübingen,8,0,7,1,1980,Freiburg im Breisgau,Sarajewo,Rechtsanwalt
1570,Ciresa,Eugen,NA,NA,https://www.facebook.com/e.ciresa/,NA,https://twitter.com/eugenciresa,0,NA,1,291,Ulm,8,0,7,1,1957,Allmendingen,Schelklingen,Elektroniker
1571,Stiel,Matthias,NA,NA,https://www.facebook.com/people/Matthias-Stiel/100014918619835,NA,NA,0,NA,1,292,Biberach,8,0,7,1,1982,Tannheim,München,Betriebsmittelplaner
1572,Dietz,Helmut,NA,NA,https://www.facebook.com/helmut.w.dietz/,NA,NA,0,NA,1,294,Ravensburg,8,0,7,1,1950,Ravensburg,Heidenheim,Rentner
1573,Hörner,Hans-Peter,NA,NA,https://www.facebook.com/hanspeter.horner.98,NA,NA,0,NA,1,295,Zollernalb – Sigmaringen,8,0,7,1,1951,Hechingen,Singen,Oberstudienrat
1574,Pronold,Florian,NA,NA,https://www.facebook.com/Florian.Pronold,NA,https://twitter.com/FlorianPronold,1,1,1,230,Rottal-Inn,9,1,2,1,1972,Deggendorf,Passau,MdB / parl. Staatssekretär
1575,Kramme,Anette,NA,NA,https://www.facebook.com/anette.kramme.bayreuth,https://www.facebook.com/profile.php?id=100014707084369,https://twitter.com/AnetteKramme,1,2,1,237,Bayreuth,9,1,2,0,1967,Heinersreuth,Essen,MdB / parl. Staatssekretärin
1576,Burkert,Martin,NA,NA,https://www.facebook.com/BurkertMartin,NA,https://twitter.com/BurkertMartin,1,3,1,245,Nürnberg-Süd,9,1,2,1,1964,Nürnberg,Würzburg,MdB / Gewerkschaftssekretär
1577,Bahr,Ulrike,NA,NA,https://www.facebook.com/mdb.ulrike.bahr,NA,https://twitter.com/MdB_Ulrike_Bahr,1,4,1,252,Augsburg-Stadt,9,1,2,0,1964,Augsburg,Nördlingen,MdB
1578,Schurer,Ewald,NA,NA,https://www.facebook.com/ewald.schurer,NA,NA,1,5,1,213,Erding – Ebersberg,9,1,2,1,1954,Ebersberg,Ebersberg,MdB / Dipl.-Betriebswirt
1579,Schieder,Marianne,NA,NA,https://www.facebook.com/MarianneSchieder,NA,NA,1,6,1,234,Schwandorf,9,1,2,0,1962,Wernberg-Köblitz,Glaubendorf (jetzt Wernberg-Köblitz),MdB / Juristin
1580,Rützel,Bernd,NA,NA,https://www.facebook.com/BerndRuetzelMdB,https://www.facebook.com/bernd.rutzel,NA,1,7,1,249,Main-Spessart,9,1,2,1,1968,Gemünden a.Main,Gemünden a.Main,MdB / techn. Oberamtsrat a. D.
